UniProtKB_accession_number	corum_id
P41182	1
P56524	1
P41182	2
Q9UQL6	2
P41182	3
Q8WUI4	3
Q09472	4
Q92793	4
Q92831	4
Q9Y6Q9	4
P30561	9
P53762	9
O95347	10
Q15003	10
Q15021	10
Q9BPX3	10
Q9NTJ3	10
Q92902	11
Q9NQG7	11
Q86YV9	12
Q969F9	12
Q9UPZ3	12
Q92903	13
Q96NY9	13
P59438	14
Q8BLY7	14
Q91VB4	14
O15379	15
O60907	15
O75376	15
Q13227	15
Q92828	15
Q9BZK7	15
O95295	23
P78537	23
Q6QNY0	23
Q6QNY1	23
Q8TDH9	23
Q96EV8	23
Q9NUP1	23
Q9UL45	23
O55102	24
Q5U5M8	24
Q8R015	24
Q8VED2	24
Q91WZ8	24
Q9CWG9	24
Q9R0C0	24
Q9Z266	24
P54612	26
P67776	26
Q8WMR7	26
O15143	27
O15144	27
O15145	27
O15511	27
P59998	27
P61158	27
P61160	27
Q2KIW6	28
Q3SZ19	28
Q3SZ81	28
P61289	29
Q06323	30
Q9UL46	30
Q2KJE7	31
Q5E9G3	31
O00231	32
O00232	32
O00233	32
O00487	32
O43242	32
O75832	32
P17980	32
P35998	32
P43686	32
P48556	32
P51665	32
P55036	32
P62191	32
P62195	32
P62333	32
Q13200	32
Q15008	32
Q16401	32
Q99460	32
Q9UNM6	32
B5DFL0	34
F1M8K0	34
P11530	34
P47863	34
O43747	36
O75843	36
P56377	36
P61966	36
Q10567	36
Q96PC3	36
Q9BXS5	36
Q9Y6Q5	36
Q99PF4	37
Q9ES64	37
O09061	38
O55234	38
O70435	38
P49722	38
P70195	38
P99026	38
Q60692	38
Q9QUM9	38
Q9R1P0	38
Q9R1P1	38
Q9R1P3	38
Q9R1P4	38
Q9Z2U0	38
Q9Z2U1	38
O09061	39
O35955	39
O70435	39
P28063	39
P28076	39
P49722	39
P99026	39
Q9QUM9	39
Q9R1P0	39
Q9R1P1	39
Q9R1P3	39
Q9R1P4	39
Q9Z2U0	39
Q9Z2U1	39
O35864	40
O88543	40
O88544	40
O88545	40
P61202	40
Q8VBV7	40
Q99LD4	40
Q9CZ04	40
O35430	42
Q62915	42
Q9Z250	42
B2RUJ5	44
O70589	44
P17427	46
P62743	46
P63010	46
P84092	46
P20664	47
P33609	47
P33610	47
P33611	47
O46470	48
P21279	48
P62881	48
O60264	49
O95239	49
O95347	49
Q13547	49
Q96ST3	49
Q9NTJ3	49
Q9UBC3	49
P20339	50
Q15276	50
Q9UJ41	50
P11983	51
P42932	51
P80313	51
P80314	51
P80315	51
P80316	51
P80317	51
P80318	51
P49803	53
P62882	53
P27361	55
P56524	55
P62870	56
P83941	56
Q63187	56
P28482	57
P56524	57
O15379	58
O60907	58
Q13227	58
Q9BZK7	58
Q9Y618	58
O00203	59
O14617	59
P53677	59
P59780	59
Q13367	59
Q92572	59
Q9Y2T2	59
O94776	61
O95983	61
Q09028	61
Q13547	61
Q14839	61
Q16576	61
Q92769	61
O94776	62
O95983	62
Q09028	62
Q13547	62
Q14839	62
Q16576	62
Q92769	62
Q9UBB5	62
O35430	65
P52188	65
Q62696	65
Q62915	65
Q792I0	65
O60244	66
O75448	66
P10827	66
Q15648	66
Q71SY5	66
Q93074	66
Q9NVC6	66
Q9Y2W1	66
Q9Y2X0	66
O00189	67
Q9UPM8	67
Q9Y587	67
Q9Y6B7	67
O15315	68
O43502	68
O43543	68
O75771	68
P38483	69
Q923K9	69
Q99PF5	69
P07335	70
P39052	70
P60711	70
P62260	70
P63102	70
P68370	70
Q9Z0W7	70
P49959	72
Q92878	72
P48995	74
Q14573	74
Q9NSC5	74
P38650	76
P62628	76
P63036	76
P63170	76
Q62871	76
Q63100	76
Q9JJ79	76
Q9QXU8	76
Q9Z336	76
O35626	77
Q9D3A8	77
Q9Z0J4	77
O54960	78
P29476	78
Q9JKF8	78
O54960	79
P09951	79
P29476	79
P62877	81
P63208	81
Q14999	81
Q8N3Y1	81
A0A0G2K761	82
P62870	82
P83941	82
Q498D8	82
Q64259	82
O88989	84
P70581	84
E1BJK2	85
P81948	85
Q3T0C7	85
O14497	86
P51532	86
P60709	86
Q12824	86
Q86X55	86
Q8TAQ2	86
Q92922	86
Q969G3	86
Q96GM5	86
Q96KG9	86
P52948	87
P55735	87
P57740	87
Q12769	87
Q8NFH3	87
Q8NFH4	87
Q8WUM0	87
Q96EE3	87
Q9BW27	87
O35165	88
Q08851	88
Q4KM74	88
Q62896	88
Q62931	88
Q62991	88
O15287	91
O15360	91
Q00597	91
Q9NPI8	91
P10747	92
P19338	92
P30260	93
Q13042	93
Q9H1A4	93
Q9UJX2	93
Q9UJX3	93
Q9UJX4	93
Q9UJX5	93
Q9UJX6	93
P12956	95
P13010	95
Q9BXJ9	95
P30260	96
Q13042	96
Q9H1A4	96
Q9UJX2	96
Q9UJX3	96
Q9UJX4	96
Q9UJX5	96
Q9UJX6	96
Q9UM13	96
P53995	97
Q3V036	97
Q8BGZ4	97
Q8BTZ4	97
Q8BZQ7	97
Q8K2H6	97
Q8R349	97
Q91W96	97
Q9WVM3	97
P04637	98
Q00987	98
Q09472	98
P28370	100
Q09028	100
Q12830	100
Q16576	100
Q91YE5	101
Q91ZW3	101
P70281	102
Q8C5S7	102
Q920F6	102
Q9CW03	102
O15514	103
P13984	103
P18074	103
P19387	103
P19388	103
P19447	103
P20226	103
P24928	103
P29083	103
P29084	103
P30876	103
P32780	103
P35269	103
P36954	103
P52434	103
P52435	103
P53803	103
P61218	103
P62487	103
P62875	103
Q00403	103
Q13888	103
Q13889	103
Q92759	103
O15514	104
P19387	104
P19388	104
P24928	104
P30876	104
P36954	104
P52434	104
P52435	104
P53803	104
P61218	104
P62487	104
P62875	104
P12979	106
P15806	106
Q9JM73	106
P18074	107
P19447	107
P32780	107
P50613	107
P51946	107
P51948	107
Q13888	107
Q13889	107
Q92759	107
Q60718	109
Q8R534	109
O15212	112
O60925	112
P61758	112
Q99471	112
Q9NQP4	112
Q9UHV9	112
O75971	114
Q13487	114
Q16533	114
Q5SXM2	114
Q92966	114
O00257	115
O60264	115
P0DMV8	115
P35226	115
P78364	115
Q06587	115
Q14781	115
Q8IXK0	115
Q8NDX5	115
Q96GD3	115
Q99496	115
Q9HC52	115
O00257	116
O60264	116
P0DMV8	116
P25490	116
P35226	116
P78364	116
Q06587	116
Q14781	116
Q8IXK0	116
Q8NDX5	116
Q96GD3	116
Q99496	116
Q9HC52	116
P50148	117
P60033	117
P62873	117
Q9Y653	117
P37287	118
Q14442	118
Q92535	118
Q9BRB3	118
P01374	120
P36941	120
Q06643	120
P25206	122
P49717	122
P49718	122
P97310	122
P97311	122
Q61881	122
O75817	123
O75818	123
O95059	123
O95707	123
P78345	123
P78346	123
Q969H6	123
Q99575	123
Q9BUL9	123
Q9H633	123
A5PJS1	124
O46469	124
P04695	124
Q8MJG0	124
P17987	126
P40227	126
P48643	126
P49368	126
P50990	126
P50991	126
P78371	126
Q99832	126
O14777	127
Q8NBT2	127
Q9BZD4	127
Q9HBM1	127
O88708	128
Q60862	128
Q9JK30	128
Q9WUJ8	128
Q9WUV0	128
Q9Z1N2	128
P42575	129
P78560	129
Q9HB75	129
P02586	136
P02641	136
P02643	136
P54274	138
Q15554	138
Q96AP0	138
Q9BSI4	138
Q9NUX5	138
Q9NYB0	138
P15999	139
P16036	139
P21913	139
Q05962	139
Q5RKI8	139
Q920L2	139
P25791	140
Q02577	140
Q86U70	140
Q9BXY8	140
P35613	142
P49768	142
Q92542	142
Q96BI3	142
Q9NZ42	142
O43747	144
O75843	144
P56377	144
P61966	144
Q10567	144
Q63HQ0	144
Q96PC3	144
Q9BXS5	144
Q9Y6Q5	144
F1MWD3	145
O15212	145
O60925	145
P61758	145
Q2NKZ1	145
Q2T9X2	145
Q32L40	145
Q3MHL7	145
Q3T0K2	145
Q3ZBH0	145
Q3ZCI9	145
Q99471	145
Q9NQP4	145
Q9UHV9	145
O88935	146
P05480	146
P39053	146
P09951	147
P21575	147
Q9WUD9	147
P09951	148
P18484	148
P21575	148
Q9WUD9	148
O96019	149
P51532	149
P60709	149
Q12824	149
Q68CP9	149
Q86U86	149
Q8TAQ2	149
Q92922	149
Q969G3	149
Q96GM5	149
F1MWD3	150
Q2NKZ1	150
Q2T9X2	150
Q32L40	150
Q3T084	150
Q3T0K2	150
Q3ZBH0	150
Q3ZCI9	150
P29083	152
P29084	152
P13984	153
P35269	153
B2RWS6	154
P45481	154
P70365	154
O00268	155
P20226	155
P21675	155
P49848	155
Q12962	155
Q15542	155
Q15544	155
Q16594	155
Q6P1X5	155
P57678	156
Q86TM6	156
Q9BUN8	156
P05504	158
P10719	158
P11608	158
P15999	158
P16036	158
P19511	158
P21571	158
P29418	158
P29419	158
P31399	158
P35434	158
P35435	158
Q06645	158
Q06646	158
Q06647	158
Q09073	158
Q71S46	158
O95347	159
P09874	159
P18887	159
Q15003	159
Q15021	159
Q9BPX3	159
Q9NTJ3	159
O95347	160
P42695	160
Q6IBW4	160
Q86XI2	160
Q9NTJ3	160
P09405	161
P11103	161
Q61937	161
Q6A028	161
P83436	162
Q14746	162
Q8WTW3	162
Q96JB2	162
Q96MW5	162
Q9H9E3	162
Q9UP83	162
Q9Y2V7	162
O60216	164
Q14683	164
Q8WVM7	164
Q9UQE7	164
O60216	166
Q14683	166
Q8N3U4	166
Q9UQE7	166
O14964	168
O75886	168
P42566	168
O14964	169
P42566	169
Q92783	169
P04897	171
Q80ZG1	171
O60934	173
P49959	173
Q92878	173
