ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
CC,GO:0010494,Cytoplasmic stress granule,35/762,47/1854,0.744680851,1.811861283,4.70820712,2.72E-06,9.70E-04,8.35E-04,P55072/Q9NZI8/Q04637/Q13148/O00571/Q4VXU2/P11940/P67809/Q15717/Q71RC2/Q14011/Q14157/P05455/Q9Y520/Q6Y7W6/Q92879/P61978/Q14974/Q9BWF3/Q14671/Q8N543/Q7Z417/Q9Y5A9/Q96PU8/O15234/Q13310/Q9UMR2/Q9H2U1/O75534/O60828/Q9NR56/C9JLW8/Q8WWM7/Q92499/Q06787,35
CC,GO:0036464,cytoplasmic ribonucleoprotein granule,50/762,76/1854,0.657894737,1.600704517,4.465866041,8.11E-06,0.001443976,0.001242452,P55072/Q9UPQ9/Q9NZI8/Q04637/Q13148/O00571/P19338/Q4VXU2/P11940/P67809/Q15717/Q71RC2/Q14011/Q14157/P05455/Q9Y520/Q9Y2V2/Q6Y7W6/Q92879/P46940/Q9NPI6/P61978/Q14974/P82979/P17980/P05388/P60900/Q9BWF3/Q14671/Q8N543/Q7Z417/Q9Y5A9/P60953/Q96PU8/Q96F86/O15234/Q13310/Q9UMR2/Q6P2E9/Q00839/Q9H2U1/O75534/A5YKK6/O60828/Q9NR56/C9JLW8/Q8WWM7/Q92499/Q06787/P07437,50
CC,GO:0035770,Ribonucleoprotein granule,52/762,81/1854,0.641975309,1.56197142,4.319229168,1.54E-05,0.00182733,0.001572303,P55072/Q9UPQ9/Q9NZI8/Q04637/Q13148/O00571/P60842/P19338/Q4VXU2/P11940/P67809/Q15717/Q71RC2/Q14011/Q14157/P05455/Q9Y520/Q9Y2V2/Q6Y7W6/Q92879/P46940/Q9NPI6/P61978/Q14974/P82979/P17980/P05388/P60900/Q9BWF3/Q14671/Q8N543/Q7Z417/Q9Y5A9/P60953/Q96PU8/Q96F86/Q12849/O15234/Q13310/Q9UMR2/Q6P2E9/Q00839/Q9H2U1/O75534/A5YKK6/O60828/Q9NR56/C9JLW8/Q8WWM7/Q92499/Q06787/P07437,52
BP,GO:0051246,Regulation of protein metabolic process,172/742,330/1817,0.521212121,1.276337499,4.608896452,3.14E-06,0.006038101,0.005404988,Q14103/P35080/P12270/P06733/P55072/Q9UPQ9/Q9NZI8/P07900/Q07021/Q13144/P21333/Q04637/P10809/Q13148/O00571/P09936/P19338/P07339/P63244/P48506/O94874/P11142/P04818/P62495/P27797/Q8N163/P09211/P11940/P60228/P62191/P67809/Q15717/Q71RC2/P63279/O75368/Q14011/P13010/Q9UBT2/P61604/P05455/O60934/Q13546/Q8NC51/Q15393/O14641/P43686/O60739/Q14240/Q6ICB0/P37198/O60841/P16989/Q7Z434/P58546/P13639/Q9Y263/Q13153/Q6Y7W6/P14618/Q96QK1/P35232/P08648/P78527/Q92879/P46940/O15212/Q99996/Q9UQ80/O75674/Q9NR09/Q9Y5K5/P35579/P49069/P06748/Q13620/Q9Y5A7/Q96N67/P41567/Q7Z6Z7/P11021/Q8N668/P04406/P82979/Q16531/Q16763/Q9BRG1/Q12931/P62877/P63208/P61086/P17980/P82094/Q92905/Q96KC8/P26368/Q93009/O43847/Q9Y5X1/Q9BVP2/Q9P287/Q9UBW8/Q9NVI1/Q13428/P23588/Q96A49/P20810/O95373/Q9BWF3/P98179/P46379/Q9NR28/Q96AC1/P62937/Q14671/O00410/Q8N543/P78318/P61201/Q8NEJ9/Q9Y5A9/Q13492/Q9H3P2/Q96PU8/P51149/O14908/P49959/O15234/O95197/Q9ULT8/Q92616/P61289/P12956/O43765/P02786/P46109/P62081/Q00839/Q9H2U1/O43181/Q96A26/Q9Y6Y0/P07814/P08047/Q14790/P62195/Q12906/O75534/A5YKK6/P46777/Q13200/P51812/P54727/O95831/Q9UNN5/P11413/Q01804/Q92499/P23381/O15371/Q9UBE0/O43432/Q8NF37/Q06787/P42704/O60506/P38919/Q6IA86/Q99460/Q92922/P68036/Q9UHD1/Q13177,172
MF,GO:0003729,mRNA binding,80/762,138/1862,0.579710145,1.41656206,4.231603373,2.04E-05,0.007144053,0.006748768,Q14103/P12270/Q9NZI8/P07900/Q07021/Q04637/Q13148/O00571/P60842/P19338/Q4VXU2/P04818/P62495/P27797/P17844/P11940/P67809/Q15717/Q71RC2/Q14011/P26599/P22626/P05455/P35637/Q8NC51/P61247/Q9Y2V2/Q14152/Q15637/P16989/Q96AE4/Q53F19/P14618/Q92879/Q9NPI6/P61978/Q92945/P52948/O43809/Q5VTR2/Q9Y3F4/Q9BVP2/P52272/Q9H0G5/O43390/Q9BWF3/Q14671/Q9Y5A9/P48643/Q15366/O95319/Q07955/Q96PU8/Q96F86/Q12849/O15234/Q13310/Q9UMR2/P62081/Q00839/Q96T58/Q9H2U1/Q12906/Q9NR30/Q9BWU0/O75534/O76021/Q96I24/P46777/Q86V81/Q8WWM7/Q00341/O15371/O43432/Q06787/P42704/O60506/P38919/P51991/P35580,80
MF,GO:0003730,mRNA 3'-UTR binding,33/762,48/1862,0.6875,1.679954068,3.97132915,7.41E-05,0.012997069,0.012277933,Q14103/Q9NZI8/Q13148/Q4VXU2/P17844/P11940/Q15717/Q71RC2/Q14011/P22626/P35637/Q8NC51/Q9Y2V2/P16989/Q92879/Q92945/O43809/Q5VTR2/Q9BWF3/Q14671/P48643/O95319/Q96PU8/Q13310/P62081/Q00839/Q9H2U1/Q12906/O76021/P46777/Q06787/P42704/P51991,33
MF,GO:0035198,miRNA binding,12/762,13/1862,0.923076923,2.255602665,3.78015649,1.70E-04,0.018585737,0.017557377,P67809/Q15717/P22626/Q8TCS8/Q9UGR2/P43243/Q9BWF3/Q14671/Q96PU8/Q9UL40/Q9NR30/Q06787,12
MF,GO:0005509,calcium ion binding,29/762,43/1862,0.674418605,1.647988769,3.577170878,3.46E-04,0.018585737,0.017557377,Q13813/P27797/P80303/O43707/Q96AY3/P14625/Q9UBC2/Q9H4M9/P27824/P29401/P19022/P08648/P13797/P46940/P60660/Q01970/Q9BSJ8/Q14126/P11021/P30626/P08133/Q9BRK5/P14314/Q15293/Q14257/Q08209/P04632/Q99584/Q8NF37,29
MF,GO:0048027,mRNA 5'-UTR binding,13/762,15/1862,0.866666667,2.11776028,3.616722469,3.48E-04,0.018585737,0.017557377,Q9NZI8/O00571/P19338/P61247/Q9BVP2/P48643/P62081/Q9H2U1/O76021/P46777/Q06787/O60506/P35580,13
MF,GO:0061980,regulatory RNA binding,13/762,15/1862,0.866666667,2.11776028,3.616722469,3.48E-04,0.018585737,0.017557377,P67809/Q15717/P22626/Q8TCS8/Q9UGR2/P43243/Q9BWF3/Q14671/Q96PU8/Q00839/Q9UL40/Q9NR30/Q06787,13
