ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
CC,GO:0043230,extracellular organelle,240/757,465/1854,0.516129032,1.264072954,5.463634164,3.71E-08,3.30E-06,3.15E-06,P49368/Q9UN37/Q99615/Q13813/Q86VP6/P22102/Q9Y5K6/P08670/P21333/P10809/P46379/Q01082/P52272/P62805/P49327/P17858/P08238/Q16629/O95347/P02768/P06576/P13489/P53396/O15144/P30041/Q06830/P06733/Q8WUM4/P41250/P62269/P60842/P14625/P37802/P34932/O43175/P06396/P38646/P49588/Q14697/Q15365/P49419/P04406/P60174/P14618/P07737/O43681/P56537/P11142/Q15904/P36871/Q9Y617/P22626/P07237/P34897/P09960/O75390/P29401/P61978/P04040/Q13200/P36578/O14745/Q92688/P55072/P11021/P14174/Q96T58/P14550/P55060/P18206/P50991/P61247/Q9HC38/Q07960/O75369/Q07065/P05387/Q9Y490/P31939/Q15758/Q99497/P37837/P05023/Q14204/O14828/Q01469/P50995/Q00610/Q86V81/P00338/O15067/P46777/P11940/P04179/Q09666/P08195/Q8NC51/Q13162/P20618/Q13620/P61970/P07954/Q06323/P25705/P35579/P11586/P60900/P30050/Q99536/P55786/Q92973/P30154/P40925/P13639/Q3SY69/P21796/Q15366/Q15149/Q9UJU6/P07741/P16152/P00492/Q9Y277/Q9BVK6/P24752/P30626/P11413/Q9P2R3/Q92598/Q9UNN8/P28838/Q00796/P00558/Q9BS26/P31689/Q8IV08/P00441/Q12830/O00571/Q99832/P63244/P49207/P07437/O43242/P41252/P52565/P55735/P23526/Q15019/O75367/P17844/P14868/P48643/P78371/P25786/Q9UKG1/P31949/P35237/P26599/P62913/P62851/Q12907/P62937/P38159/P50990/Q01813/P25325/Q14974/Q15257/P62258/P06213/P40926/O75844/P32119/P40227/Q96G03/P36405/P55884/P62826/Q96SN8/P29966/P25685/Q9H4B7/Q9BRA2/Q15181/P26641/P62195/P07900/P12004/P47755/P28074/P22314/P46940/P18077/P00918/Q9HB71/Q9UQ80/Q06210/Q9BR76/P07602/P53621/Q13740/Q92542/P09211/Q9UN36/Q9Y4L1/Q9Y230/Q02790/P07195/P52788/Q9Y450/P22234/Q8WYP5/P39019/P11047/Q96EY5/P04632/Q8NCW5/P09972/P39023/Q9UL46/P62241/Q13867/P68371/Q9NQW7/P00505/O75083/P62701/Q04760/Q13724/O75882/Q9Y265/Q9BWD1/O43707/P30153/P53675/P02786/Q9NYU2/P22087/Q16531,240
CC,GO:0065010,extracellular membrane-bounded organelle,240/757,465/1854,0.516129032,1.264072954,5.463634164,3.71E-08,3.30E-06,3.15E-06,P49368/Q9UN37/Q99615/Q13813/Q86VP6/P22102/Q9Y5K6/P08670/P21333/P10809/P46379/Q01082/P52272/P62805/P49327/P17858/P08238/Q16629/O95347/P02768/P06576/P13489/P53396/O15144/P30041/Q06830/P06733/Q8WUM4/P41250/P62269/P60842/P14625/P37802/P34932/O43175/P06396/P38646/P49588/Q14697/Q15365/P49419/P04406/P60174/P14618/P07737/O43681/P56537/P11142/Q15904/P36871/Q9Y617/P22626/P07237/P34897/P09960/O75390/P29401/P61978/P04040/Q13200/P36578/O14745/Q92688/P55072/P11021/P14174/Q96T58/P14550/P55060/P18206/P50991/P61247/Q9HC38/Q07960/O75369/Q07065/P05387/Q9Y490/P31939/Q15758/Q99497/P37837/P05023/Q14204/O14828/Q01469/P50995/Q00610/Q86V81/P00338/O15067/P46777/P11940/P04179/Q09666/P08195/Q8NC51/Q13162/P20618/Q13620/P61970/P07954/Q06323/P25705/P35579/P11586/P60900/P30050/Q99536/P55786/Q92973/P30154/P40925/P13639/Q3SY69/P21796/Q15366/Q15149/Q9UJU6/P07741/P16152/P00492/Q9Y277/Q9BVK6/P24752/P30626/P11413/Q9P2R3/Q92598/Q9UNN8/P28838/Q00796/P00558/Q9BS26/P31689/Q8IV08/P00441/Q12830/O00571/Q99832/P63244/P49207/P07437/O43242/P41252/P52565/P55735/P23526/Q15019/O75367/P17844/P14868/P48643/P78371/P25786/Q9UKG1/P31949/P35237/P26599/P62913/P62851/Q12907/P62937/P38159/P50990/Q01813/P25325/Q14974/Q15257/P62258/P06213/P40926/O75844/P32119/P40227/Q96G03/P36405/P55884/P62826/Q96SN8/P29966/P25685/Q9H4B7/Q9BRA2/Q15181/P26641/P62195/P07900/P12004/P47755/P28074/P22314/P46940/P18077/P00918/Q9HB71/Q9UQ80/Q06210/Q9BR76/P07602/P53621/Q13740/Q92542/P09211/Q9UN36/Q9Y4L1/Q9Y230/Q02790/P07195/P52788/Q9Y450/P22234/Q8WYP5/P39019/P11047/Q96EY5/P04632/Q8NCW5/P09972/P39023/Q9UL46/P62241/Q13867/P68371/Q9NQW7/P00505/O75083/P62701/Q04760/Q13724/O75882/Q9Y265/Q9BWD1/O43707/P30153/P53675/P02786/Q9NYU2/P22087/Q16531,240
CC,GO:0070062,extracellular exosome,240/757,465/1854,0.516129032,1.264072954,5.463634164,3.71E-08,3.30E-06,3.15E-06,P49368/Q9UN37/Q99615/Q13813/Q86VP6/P22102/Q9Y5K6/P08670/P21333/P10809/P46379/Q01082/P52272/P62805/P49327/P17858/P08238/Q16629/O95347/P02768/P06576/P13489/P53396/O15144/P30041/Q06830/P06733/Q8WUM4/P41250/P62269/P60842/P14625/P37802/P34932/O43175/P06396/P38646/P49588/Q14697/Q15365/P49419/P04406/P60174/P14618/P07737/O43681/P56537/P11142/Q15904/P36871/Q9Y617/P22626/P07237/P34897/P09960/O75390/P29401/P61978/P04040/Q13200/P36578/O14745/Q92688/P55072/P11021/P14174/Q96T58/P14550/P55060/P18206/P50991/P61247/Q9HC38/Q07960/O75369/Q07065/P05387/Q9Y490/P31939/Q15758/Q99497/P37837/P05023/Q14204/O14828/Q01469/P50995/Q00610/Q86V81/P00338/O15067/P46777/P11940/P04179/Q09666/P08195/Q8NC51/Q13162/P20618/Q13620/P61970/P07954/Q06323/P25705/P35579/P11586/P60900/P30050/Q99536/P55786/Q92973/P30154/P40925/P13639/Q3SY69/P21796/Q15366/Q15149/Q9UJU6/P07741/P16152/P00492/Q9Y277/Q9BVK6/P24752/P30626/P11413/Q9P2R3/Q92598/Q9UNN8/P28838/Q00796/P00558/Q9BS26/P31689/Q8IV08/P00441/Q12830/O00571/Q99832/P63244/P49207/P07437/O43242/P41252/P52565/P55735/P23526/Q15019/O75367/P17844/P14868/P48643/P78371/P25786/Q9UKG1/P31949/P35237/P26599/P62913/P62851/Q12907/P62937/P38159/P50990/Q01813/P25325/Q14974/Q15257/P62258/P06213/P40926/O75844/P32119/P40227/Q96G03/P36405/P55884/P62826/Q96SN8/P29966/P25685/Q9H4B7/Q9BRA2/Q15181/P26641/P62195/P07900/P12004/P47755/P28074/P22314/P46940/P18077/P00918/Q9HB71/Q9UQ80/Q06210/Q9BR76/P07602/P53621/Q13740/Q92542/P09211/Q9UN36/Q9Y4L1/Q9Y230/Q02790/P07195/P52788/Q9Y450/P22234/Q8WYP5/P39019/P11047/Q96EY5/P04632/Q8NCW5/P09972/P39023/Q9UL46/P62241/Q13867/P68371/Q9NQW7/P00505/O75083/P62701/Q04760/Q13724/O75882/Q9Y265/Q9BWD1/O43707/P30153/P53675/P02786/Q9NYU2/P22087/Q16531,240
CC,GO:1903561,extracellular vesicle,240/757,465/1854,0.516129032,1.264072954,5.463634164,3.71E-08,3.30E-06,3.15E-06,P49368/Q9UN37/Q99615/Q13813/Q86VP6/P22102/Q9Y5K6/P08670/P21333/P10809/P46379/Q01082/P52272/P62805/P49327/P17858/P08238/Q16629/O95347/P02768/P06576/P13489/P53396/O15144/P30041/Q06830/P06733/Q8WUM4/P41250/P62269/P60842/P14625/P37802/P34932/O43175/P06396/P38646/P49588/Q14697/Q15365/P49419/P04406/P60174/P14618/P07737/O43681/P56537/P11142/Q15904/P36871/Q9Y617/P22626/P07237/P34897/P09960/O75390/P29401/P61978/P04040/Q13200/P36578/O14745/Q92688/P55072/P11021/P14174/Q96T58/P14550/P55060/P18206/P50991/P61247/Q9HC38/Q07960/O75369/Q07065/P05387/Q9Y490/P31939/Q15758/Q99497/P37837/P05023/Q14204/O14828/Q01469/P50995/Q00610/Q86V81/P00338/O15067/P46777/P11940/P04179/Q09666/P08195/Q8NC51/Q13162/P20618/Q13620/P61970/P07954/Q06323/P25705/P35579/P11586/P60900/P30050/Q99536/P55786/Q92973/P30154/P40925/P13639/Q3SY69/P21796/Q15366/Q15149/Q9UJU6/P07741/P16152/P00492/Q9Y277/Q9BVK6/P24752/P30626/P11413/Q9P2R3/Q92598/Q9UNN8/P28838/Q00796/P00558/Q9BS26/P31689/Q8IV08/P00441/Q12830/O00571/Q99832/P63244/P49207/P07437/O43242/P41252/P52565/P55735/P23526/Q15019/O75367/P17844/P14868/P48643/P78371/P25786/Q9UKG1/P31949/P35237/P26599/P62913/P62851/Q12907/P62937/P38159/P50990/Q01813/P25325/Q14974/Q15257/P62258/P06213/P40926/O75844/P32119/P40227/Q96G03/P36405/P55884/P62826/Q96SN8/P29966/P25685/Q9H4B7/Q9BRA2/Q15181/P26641/P62195/P07900/P12004/P47755/P28074/P22314/P46940/P18077/P00918/Q9HB71/Q9UQ80/Q06210/Q9BR76/P07602/P53621/Q13740/Q92542/P09211/Q9UN36/Q9Y4L1/Q9Y230/Q02790/P07195/P52788/Q9Y450/P22234/Q8WYP5/P39019/P11047/Q96EY5/P04632/Q8NCW5/P09972/P39023/Q9UL46/P62241/Q13867/P68371/Q9NQW7/P00505/O75083/P62701/Q04760/Q13724/O75882/Q9Y265/Q9BWD1/O43707/P30153/P53675/P02786/Q9NYU2/P22087/Q16531,240
CC,GO:0005615,Extracellular space,249/757,495/1854,0.503030303,1.231992314,5.006668117,4.10E-07,2.92E-05,2.78E-05,P49368/Q9UN37/Q99615/Q13813/Q86VP6/P22102/Q9Y5K6/P50454/P08670/P21333/P10809/P46379/Q01082/P52272/P62805/P49327/P17858/P08238/Q16629/O95347/P02768/P06576/P13489/P53396/O15144/P30041/Q06830/P06733/Q8WUM4/P41250/P62269/P60842/P14625/P37802/P34932/O43175/P06396/P38646/P49588/Q14697/Q15365/P49419/P04406/P60174/P14618/P07737/O43681/P56537/P11142/Q15904/Q00341/P36871/Q9Y617/P22626/P07237/P34897/P09960/O75390/P29401/P61978/P04040/Q13200/P36578/Q9BY44/O14745/Q92688/P55072/P11021/P14174/Q96T58/P14550/P55060/P18206/P50991/P54577/P61247/Q9HC38/Q07960/O75369/Q07065/P05387/Q9Y490/P31939/O95399/Q15758/Q99497/P37837/P05023/Q14204/O14828/Q01469/P50995/Q00610/Q86V81/P00338/O15067/P46777/P11940/P04179/Q09666/P08195/Q8NC51/Q13162/P20618/Q13620/P61970/P07954/Q06323/P25705/P35579/P11586/P60900/P30050/P13667/Q99536/P55786/Q92973/P30154/P40925/P13639/Q3SY69/P21796/Q15366/Q15149/Q9UJU6/P07741/Q9H501/P16152/P00492/Q9Y277/Q9BVK6/P24752/P30626/P11413/Q9P2R3/Q92598/A5YKK6/Q9UNN8/P28838/Q00796/P00558/Q9BS26/P31689/Q8IV08/P00441/Q12830/O00571/Q99832/P63244/P49207/P07437/O43242/P41252/P52565/P55735/P23526/Q15019/O75367/P17844/P14868/P48643/P78371/P25786/Q9UKG1/P31949/P35237/P26599/P62913/P62851/Q12907/P62937/P38159/P50990/Q01813/P25325/Q14974/Q15257/P62258/P06213/P40926/O75844/P32119/P40227/Q96G03/P36405/P55884/P62826/Q96SN8/P29966/P25685/Q9H4B7/Q9BRA2/Q15181/P26641/P62195/P07900/P12004/P47755/P28074/P22314/P46940/P18077/P00918/Q9HB71/Q9UQ80/Q06210/Q9BR76/P07602/P53621/Q13740/Q92542/P09211/Q9UN36/Q9Y4L1/Q9Y230/Q02790/P07195/P52788/Q9Y450/P22234/Q8WYP5/P39019/P11047/Q96EY5/P04632/Q8NCW5/P09972/P39023/Q9UL46/P62241/Q13867/P68371/Q9NQW7/P00505/O75083/P62701/Q04760/Q13724/Q15046/O75882/Q9Y265/Q9BWD1/O43707/P30153/P53675/P02786/Q9NYU2/P22087/Q16531,249
BP,GO:0019752,carboxylic acid metabolic process,76/748,126/1817,0.603174603,1.4651982,4.526592122,5.58E-06,0.00538558,0.00516012,Q8IVS2/Q96PU8/P49327/P17858/P35520/P53396/P06733/Q96PE7/O43175/P04406/P60174/P14618/P38117/Q9UHY7/P22059/P56537/P36871/P54886/Q9Y617/P07237/P34897/P09960/O75390/P50213/P14174/P14550/P23786/P31939/Q99497/Q16836/Q01469/P00338/O15067/P31040/P07954/P11586/P40925/Q3SY69/P21796/P51659/Q8TD30/P30084/P16152/Q96SU4/P24752/Q00796/P00558/P10515/Q6YP21/P11177/Q96CM8/Q06203/O95573/Q9Y303/Q01813/P25325/Q99798/P06213/Q15185/P40926/P09622/Q9BZF3/P09936/Q99714/Q02252/Q06210/P40939/P09211/P07195/P52788/P55084/P09972/Q13867/Q9UBK8/P00505/O15294,76
BP,GO:0006082,organic acid metabolic process,77/748,129/1817,0.596899225,1.4499544,4.434013447,8.43E-06,0.00538558,0.00516012,Q8IVS2/O43252/Q96PU8/P49327/P17858/P35520/P53396/P06733/Q96PE7/O43175/P04406/P60174/P14618/P38117/Q9UHY7/P22059/P56537/P36871/P54886/Q9Y617/P07237/P34897/P09960/O75390/P50213/P14174/P14550/P23786/P31939/Q99497/Q16836/Q01469/P00338/O15067/P31040/P07954/P11586/P40925/Q3SY69/P21796/P51659/Q8TD30/P30084/P16152/Q96SU4/P24752/Q00796/P00558/P10515/Q6YP21/P11177/Q96CM8/Q06203/O95573/Q9Y303/Q01813/P25325/Q99798/P06213/Q15185/P40926/P09622/Q9BZF3/P09936/Q99714/Q02252/Q06210/P40939/P09211/P07195/P52788/P55084/P09972/Q13867/Q9UBK8/P00505/O15294,77
BP,GO:0043436,oxoacid metabolic process,77/748,129/1817,0.596899225,1.4499544,4.434013447,8.43E-06,0.00538558,0.00516012,Q8IVS2/O43252/Q96PU8/P49327/P17858/P35520/P53396/P06733/Q96PE7/O43175/P04406/P60174/P14618/P38117/Q9UHY7/P22059/P56537/P36871/P54886/Q9Y617/P07237/P34897/P09960/O75390/P50213/P14174/P14550/P23786/P31939/Q99497/Q16836/Q01469/P00338/O15067/P31040/P07954/P11586/P40925/Q3SY69/P21796/P51659/Q8TD30/P30084/P16152/Q96SU4/P24752/Q00796/P00558/P10515/Q6YP21/P11177/Q96CM8/Q06203/O95573/Q9Y303/Q01813/P25325/Q99798/P06213/Q15185/P40926/P09622/Q9BZF3/P09936/Q99714/Q02252/Q06210/P40939/P09211/P07195/P52788/P55084/P09972/Q13867/Q9UBK8/P00505/O15294,77
BP,GO:0032787,monocarboxylic acid metabolic process,48/748,73/1817,0.657534247,1.597245623,4.355730829,1.33E-05,0.006377904,0.006110902,Q8IVS2/Q96PU8/P49327/P17858/P53396/P06733/Q96PE7/O43175/P04406/P60174/P14618/P38117/P22059/P56537/P36871/P14174/P14550/P23786/Q99497/Q16836/Q01469/P00338/Q3SY69/P21796/P51659/P30084/P16152/Q96SU4/P24752/Q00796/P00558/P10515/P11177/Q96CM8/O95573/Q01813/P06213/Q15185/P09622/Q9BZF3/P09936/Q99714/P40939/P09211/P07195/P55084/P09972/O15294,48
MF,GO:0140662,ATP-dependent protein folding chaperone,20/761,24/1862,0.833333333,2.038983793,4.258076856,2.25E-05,0.007892655,0.006958886,P49368/P10809/P08238/P14625/P34932/P38646/P11142/Q12931/P11021/P50991/Q92598/O76031/Q99832/P48643/P78371/P50990/P40227/P07900/Q9Y4L1/O95757,20
