Index,UniProt_Accession,Protein.Start,Gene,Entry.Name,parameters,values,model
A0AVT1_138,A0AVT1,138,UBA6,UBA6_HUMAN,A,1.024327679030787,nonlinear fitting
A0AVT1_138,A0AVT1,138,UBA6,UBA6_HUMAN,B,0.7105025309832087,nonlinear fitting
A0AVT1_138,A0AVT1,138,UBA6,UBA6_HUMAN,Kd,0.052468432536631616,nonlinear fitting
A0AVT1_138,A0AVT1,138,UBA6,UBA6_HUMAN,RSS,0.003148942666304574,nonlinear fitting
A0AVT1_220,A0AVT1,220,UBA6,UBA6_HUMAN,A,1.0068746085993854,nonlinear fitting
A0AVT1_220,A0AVT1,220,UBA6,UBA6_HUMAN,B,0.6078212904655607,nonlinear fitting
A0AVT1_220,A0AVT1,220,UBA6,UBA6_HUMAN,Kd,0.12077074137441952,nonlinear fitting
A0AVT1_220,A0AVT1,220,UBA6,UBA6_HUMAN,RSS,0.007285762921237094,nonlinear fitting
A0AVT1_239,A0AVT1,239,UBA6,UBA6_HUMAN,A,1.0068263803713398,nonlinear fitting
A0AVT1_239,A0AVT1,239,UBA6,UBA6_HUMAN,B,0.9196572814622546,nonlinear fitting
A0AVT1_239,A0AVT1,239,UBA6,UBA6_HUMAN,Kd,0.3262156800778903,nonlinear fitting
A0AVT1_239,A0AVT1,239,UBA6,UBA6_HUMAN,RSS,0.006991868772512851,nonlinear fitting
A0MZ66_15,A0MZ66,15,SHTN1,SHOT1_HUMAN,A,1.0038614585024725,nonlinear fitting
A0MZ66_15,A0MZ66,15,SHTN1,SHOT1_HUMAN,B,-1.6047742260726272,nonlinear fitting
A0MZ66_15,A0MZ66,15,SHTN1,SHOT1_HUMAN,Kd,0.0046609648502363155,nonlinear fitting
A0MZ66_15,A0MZ66,15,SHTN1,SHOT1_HUMAN,RSS,0.004677072493487346,nonlinear fitting
A1L020_406,A1L020,406,MEX3A,MEX3A_HUMAN,A,0.9783150758779167,nonlinear fitting
A1L020_406,A1L020,406,MEX3A,MEX3A_HUMAN,B,0.7461221486129247,nonlinear fitting
A1L020_406,A1L020,406,MEX3A,MEX3A_HUMAN,Kd,0.10288155061438231,nonlinear fitting
A1L020_406,A1L020,406,MEX3A,MEX3A_HUMAN,RSS,0.019707308088352547,nonlinear fitting
A2RU67_79,A2RU67,79,FAM234B,F234B_HUMAN,A,1.0031487604120692,nonlinear fitting
A2RU67_79,A2RU67,79,FAM234B,F234B_HUMAN,B,0.5767597006166594,nonlinear fitting
A2RU67_79,A2RU67,79,FAM234B,F234B_HUMAN,Kd,0.1459675477657717,nonlinear fitting
A2RU67_79,A2RU67,79,FAM234B,F234B_HUMAN,RSS,0.0015198063225468196,nonlinear fitting
A5A3E0_916,A5A3E0,916,POTEF,POTEF_HUMAN,A,1.0146606048364595,nonlinear fitting
A5A3E0_916,A5A3E0,916,POTEF,POTEF_HUMAN,B,0.8315356326481186,nonlinear fitting
A5A3E0_916,A5A3E0,916,POTEF,POTEF_HUMAN,Kd,0.11620773750651994,nonlinear fitting
A5A3E0_916,A5A3E0,916,POTEF,POTEF_HUMAN,RSS,0.013241030792475881,nonlinear fitting
A5YKK6_1571,A5YKK6,1571,CNOT1,CNOT1_HUMAN,A,1.0027683423208251,nonlinear fitting
A5YKK6_1571,A5YKK6,1571,CNOT1,CNOT1_HUMAN,B,0.8042537360775543,nonlinear fitting
A5YKK6_1571,A5YKK6,1571,CNOT1,CNOT1_HUMAN,Kd,0.4276172988387561,nonlinear fitting
A5YKK6_1571,A5YKK6,1571,CNOT1,CNOT1_HUMAN,RSS,0.019367848843457252,nonlinear fitting
A5YKK6_2252,A5YKK6,2252,CNOT1,CNOT1_HUMAN,A,0.9653966699493366,nonlinear fitting
A5YKK6_2252,A5YKK6,2252,CNOT1,CNOT1_HUMAN,B,0.6569861738574466,nonlinear fitting
A5YKK6_2252,A5YKK6,2252,CNOT1,CNOT1_HUMAN,Kd,0.05171886604984189,nonlinear fitting
A5YKK6_2252,A5YKK6,2252,CNOT1,CNOT1_HUMAN,RSS,0.03635199662982532,nonlinear fitting
A6NDU8_25,A6NDU8,25,RIMOC1,RIMC1_HUMAN,A,0.9815771168697117,nonlinear fitting
A6NDU8_25,A6NDU8,25,RIMOC1,RIMC1_HUMAN,B,0.5364396940033668,nonlinear fitting
A6NDU8_25,A6NDU8,25,RIMOC1,RIMC1_HUMAN,Kd,0.028658464683951716,nonlinear fitting
