category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Genetic Information Processing,"Folding, sorting and degradation",hsa04120,Ubiquitin mediated proteolysis,18/436,30/1067,0.6,1.4683486238532109,2.1619600523332494,0.025080804200795597,0.9949196738743784,0.9949196738743783,P49459/P63279/Q9UBT2/P22314/Q9NR09/Q13620/Q7Z6Z7/Q16531/Q16763/O95071/P62877/P63208/P61086/P60604/Q9C0C9/A0AVT1/Q9UBE0/P68036,18
Cellular Processes,Cell motility,hsa04820,Cytoskeleton in muscle cells,20/436,36/1067,0.5555555555555556,1.3595820591233436,1.8235895723144426,0.050344666802356254,0.9949196738743784,0.9949196738743783,P06733/Q13813/Q01082/P20700/P05023/P68133/Q9Y490/P02545/P08670/O00151/P08648/Q03252/P35579/Q14126/P15924/P63261/P50402/Q9BTV4/Q15149/P35580,20
Genetic Information Processing,Transcription,hsa03040,Spliceosome,35/436,69/1067,0.5072463768115942,1.2413575322430528,1.7223733568752306,0.05603081317280391,0.9949196738743784,0.9949196738743783,Q99459/P11142/P62318/P17844/O94906/Q8IWX8/P35637/Q15393/Q15029/P84103/Q13573/O75400/P61978/Q15427/Q96FV9/O75940/P26368/P52272/Q15459/Q9ULR0/Q12874/Q07955/O43290/P09661/Q9NW64/Q00839/O75643/Q13242/Q86V81/O60828/P62314/Q9Y3C6/Q9Y4Y9/P38919/P51991,35
Human Diseases,Immune disease,hsa05322,Systemic lupus erythematosus,7/436,10/1067,0.7,1.7130733944954128,1.8823652919009848,0.06056856536545343,0.9949196738743784,0.9949196738743783,P62805/P62318/O43707/P05455/P04440/Q8IUE6/P62314,7
Human Diseases,Cardiovascular disease,hsa05412,Arrhythmogenic right ventricular cardiomyopathy,8/436,12/1067,0.6666666666666666,1.631498470948012,1.8278639345528518,0.06382001531050728,0.9949196738743784,0.9949196738743783,P35221/P02545/P19022/P08648/Q14126/P15924/P63261/P50402,8
Organismal Systems,Excretory system,hsa04962,Vasopressin-regulated water reabsorption,9/436,14/1067,0.6428571428571429,1.5732306684141546,1.79385120692072,0.06536159118999872,0.9949196738743784,0.9949196738743783,P63167/O43306/Q14203/Q9Y6G9/P52565/Q15907/Q12846/Q13561/Q14204,9
Genetic Information Processing,"Folding, sorting and degradation",hsa03018,RNA degradation,17/436,31/1067,0.5483870967741935,1.3420390648120746,1.6057718746356437,0.07865282875605287,0.9949196738743784,0.9949196738743783,P06733/P10809/Q9GZS3/P11940/Q8TCS8/P38646/Q9NPI6/P42285/Q9H0D6/Q9NQT4/Q5RKV6/Q96F86/Q13310/Q6P2E9/Q9H2U1/A5YKK6/Q9Y4Y9,17
Human Diseases,Cancer: overview,hsa05203,Viral carcinogenesis,20/436,38/1067,0.5263157894736842,1.2880251086431675,1.502178795974119,0.09179853605970213,0.9949196738743784,0.9949196738743783,P10321/P62805/O00571/P27348/P62191/O43707/P63104/Q13573/Q04917/P14618/P43487/P61978/Q9Y277/Q7KZF4/Q16531/Q93009/P62258/P60953/Q14790/P52655,20
Human Diseases,Infectious disease: viral,hsa05170,Human immunodeficiency virus 1 infection,16/436,30/1067,0.5333333333333333,1.3051987767584097,1.4088384800708997,0.11169393640852937,0.9949196738743784,0.9949196738743783,P10321/P27797/Q13546/P55957/Q13153/Q13620/Q16531/P62877/P63208/P30101/Q10567/O43747/P46109/Q14790/Q08209/Q13177,16
Genetic Information Processing,"Folding, sorting and degradation",hsa04141,Protein processing in endoplasmic reticulum,31/436,64/1067,0.484375,1.185385607798165,1.2709331364228837,0.12739811025490716,0.9949196738743784,0.9949196738743783,P55072/P07900/P13667/P11142/P27797/P14625/Q9Y263/O60884/Q8NBS9/P27824/P43307/P11021/P62877/P63208/O95486/P30101/Q96KC8/P07237/Q9P2E9/Q14697/Q9Y4L1/P60604/P14314/Q96HE7/Q15084/P60468/P54727/Q9UNZ2/Q13438/Q9NYU2/Q9NR31,31
